iris_id,insee_commune_id,commune_name,place_in_commune,has_income_data
026910206,02691,Saint-Quentin,Europe-Remicourt 6,True
026910207,02691,Saint-Quentin,Europe-Remicourt 7,True
026910208,02691,Saint-Quentin,Europe-Remicourt 8,True
026910209,02691,Saint-Quentin,Europe-Remicourt 9,True
026910210,02691,Saint-Quentin,Europe-Remicourt 10,False
026910301,02691,Saint-Quentin,Isle 1,True
026910302,02691,Saint-Quentin,Isle 2,True
026910303,02691,Saint-Quentin,Isle 3,True
026910304,02691,Saint-Quentin,Isle 4,True
026910401,02691,Saint-Quentin,Saint-Martin-Oestres 1,True
026910402,02691,Saint-Quentin,Saint-Martin-Oestres 2,True
026910403,02691,Saint-Quentin,Saint-Martin-Oestres 3,True
026910501,02691,Saint-Quentin,Vermandois 1,True
026910502,02691,Saint-Quentin,Vermandois 2,True
026910503,02691,Saint-Quentin,Vermandois 3,True
026910504,02691,Saint-Quentin,Vermandois 4,True
026910505,02691,Saint-Quentin,Vermandois 5,False
026910601,02691,Saint-Quentin,Saint-Jean,True
027220101,02722,Soissons,Presles 1,True
027220102,02722,Soissons,Presles 2,True
027220103,02722,Soissons,Presles 3,True
027220201,02722,Soissons,Maupas,True
027220301,02722,Soissons,Longues Baies,True
027220401,02722,Soissons,Saint-Crépin,True
027220501,02722,Soissons,Centre 1,True
027220502,02722,Soissons,Centre 2,True
027220503,02722,Soissons,Centre 3,True
027220601,02722,Soissons,Chevreux,True
027220701,02722,Soissons,Saint-Waast,True
027220801,02722,Soissons,Saint-Médard,True
027220901,02722,Soissons,Gare,True
027380101,02738,Tergnier,Quessy Centre,True
027380102,02738,Tergnier,Quessy Cité,True
027380201,02738,Tergnier,Vouel,True
027380301,02738,Tergnier,Tergnier 1,True
027380302,02738,Tergnier,Tergnier 2,True
027380401,02738,Tergnier,Fargniers,True
028100102,02810,Villers-Cotterêts,Avenue de Compiegne,True
028100202,02810,Villers-Cotterêts,Château,True
028100302,02810,Villers-Cotterêts,Pisseleux,True
028100401,02810,Villers-Cotterêts,Vivières,True
030230101,03023,Bellerive-sur-Allier,Centre Ville Haut,True
030230102,03023,Bellerive-sur-Allier,Centre Ville Bas,True
030230103,03023,Bellerive-sur-Allier,Extérieur Haut,True
030230104,03023,Bellerive-sur-Allier,Extérieur Bas,True
030820101,03082,Commentry,1re Zone,True
030820102,03082,Commentry,2e Zone,True
030820103,03082,Commentry,3e Zone,True
