iris_id,commune_name,place_in_commune,taux_bas_revenus_pct,revenu_q1_eur,revenu_median_eur,revenu_q3_eur,revenu_d1_eur,revenu_d9_eur,part_revenus_activite_pct,part_pensions_pct,part_revenus_patrimoine_pct,part_prestations_sociales_pct,part_prestations_familiales_pct,part_minima_sociaux_pct,part_prestations_logement_pct,part_impots_pct
352380101,Rennes,Cathédrale,13.0,20460.0,30500.0,44290.0,12890.0,65170.0,90.8,17.4,12.4,3.3,0.5,1.5,1.3,-23.9
352380102,Rennes,Hoche,13.0,18980.0,29130.0,42530.0,11900.0,67300.0,92.1,14.2,15.1,3.0,0.7,1.2,1.1,-24.4
352380103,Rennes,Parlement,11.0,21050.0,30690.0,47880.0,12990.0,69120.0,86.2,19.5,17.5,2.6,0.6,1.1,0.9,-25.8
352380104,Rennes,Parcheminerie Toussaints,14.0,19480.0,29920.0,42880.0,11530.0,63190.0,79.1,23.5,18.9,3.2,0.5,1.6,1.1,-24.7
352380105,Rennes,Liberté Champ de Mars,17.0,16580.0,24590.0,35050.0,10730.0,46810.0,78.3,24.7,11.8,5.3,1.2,2.5,1.6,-20.1
352380106,Rennes,Colombier Sud et Ouest,23.0,14730.0,21710.0,30500.0,11050.0,40820.0,66.9,28.8,16.2,6.3,1.8,3.0,1.5,-18.2
352380107,Rennes,Dalle du Colombier,13.0,19250.0,27970.0,37960.0,12140.0,48310.0,53.5,49.3,13.8,3.8,0.7,2.1,1.0,-20.4
352380108,Rennes,Saint-Louis,17.0,16970.0,27270.0,37180.0,10760.0,50640.0,76.3,29.2,11.1,5.1,0.7,2.7,1.7,-21.7
352380109,Rennes,Vieux Saint-Étienne,15.0,18010.0,25550.0,36400.0,11000.0,48630.0,88.0,16.1,12.0,5.1,0.7,2.6,1.8,-21.2
352380110,Rennes,Hôtel-Dieu,20.0,15230.0,22210.0,33370.0,10570.0,43900.0,79.7,22.6,8.6,6.8,1.3,3.5,2.0,-17.7
352380201,Rennes,Jules Ferry,10.0,21850.0,30810.0,41620.0,13600.0,59860.0,77.6,22.9,21.5,2.7,0.6,1.2,0.9,-24.7
352380202,Rennes,Les Mottais,7.0,24310.0,35790.0,52120.0,16580.0,79480.0,84.7,20.6,19.9,2.0,0.6,0.8,0.6,-27.2
352380203,Rennes,Jean Macé,9.0,23510.0,35320.0,50300.0,14180.0,81260.0,76.9,18.6,33.0,1.4,0.4,0.5,0.5,-29.9
352380204,Rennes,Paris Ouest Martenot,13.0,18550.0,28450.0,41210.0,12260.0,64690.0,82.2,17.2,22.6,3.2,0.6,1.6,1.0,-25.2
352380205,Rennes,Paris Est,13.0,19230.0,28370.0,39170.0,12460.0,62840.0,89.5,13.0,16.6,3.6,0.9,1.6,1.1,-22.7
352380206,Rennes,Oberthur,13.0,18260.0,25220.0,35210.0,12320.0,45190.0,84.7,21.8,8.4,4.8,1.3,2.2,1.3,-19.7
352380207,Rennes,Saint-Hélier,13.0,18320.0,25110.0,33770.0,12310.0,44170.0,87.3,19.2,7.3,4.8,0.8,2.5,1.5,-18.6
352380208,Rennes,Laennec-Dupont des Loges,13.0,18720.0,26890.0,35780.0,12300.0,48820.0,79.1,23.6,12.9,4.3,0.9,2.1,1.3,-19.9
352380209,Rennes,Alphonse Guérin,13.0,17910.0,24150.0,32300.0,12440.0,44180.0,91.1,14.1,8.3,5.1,1.2,2.5,1.4,-18.6
352380301,Rennes,Mail,16.0,17110.0,24990.0,36040.0,11590.0,48730.0,83.3,25.2,8.9,5.2,1.0,2.7,1.5,-22.6
352380302,Rennes,Rue de Brest Ouest,11.0,18880.0,25800.0,32710.0,13660.0,42010.0,78.9,28.5,6.2,3.8,0.8,1.9,1.1,-17.4
352380303,Rennes,Rue de Brest Est,9.0,20260.0,26940.0,34730.0,14350.0,45360.0,78.4,30.7,6.6,3.4,0.7,1.7,1.0,-19.1
352380304,Rennes,La Touche,20.0,15710.0,22440.0,32760.0,10670.0,50820.0,73.5,24.3,13.2,7.4,1.2,4.3,1.9,-18.4
352380305,Rennes,Port Cahours,14.0,17390.0,25380.0,34280.0,12240.0,44720.0,86.6,18.0,9.8,5.0,1.1,2.5,1.4,-19.4
352380306,Rennes,Stade Rennais,18.0,16170.0,23190.0,30230.0,10970.0,38750.0,83.7,18.3,7.6,7.0,1.8,3.4,1.8,-16.6
352380401,Rennes,Jean Ogée,11.0,20820.0,28430.0,41370.0,13780.0,59740.0,86.5,20.9,12.4,3.0,0.7,1.4,0.9,-22.8
