iris_id,commune_name,place_in_commune,menages_fiscaux_imposes_pct,taux_bas_revenus_pct,revenu_q1_eur,revenu_median_eur,revenu_q3_eur,revenu_d1_eur,revenu_d9_eur,part_revenus_activite_pct,part_pensions_pct,part_autres_revenus_pct
773160102,Moret-Loing-et-Orvanne,Écuelles-Épisy-Montarlot,65.0,11.0,19150.0,26100.0,32800.0,13190.0,42990.0,72.1,25.8,2.1
773160103,Moret-Loing-et-Orvanne,Veneux-les-Sablons,69.0,10.0,20180.0,28110.0,38580.0,13850.0,51050.0,68.9,27.2,3.9
773260101,Nandy,Nord-Est,45.0,37.0,10260.0,18180.0,25450.0,5120.0,32880.0,82.2,17.1,0.7
773260102,Nandy,Est,69.0,17.0,18750.0,25800.0,32950.0,10780.0,41710.0,77.4,21.2,1.4
773260103,Nandy,Nord-Ouest Sud-Est,67.0,11.0,19880.0,26680.0,34040.0,13170.0,44270.0,72.9,21.8,5.3
773270101,Nangis,Périphérie,50.0,26.0,13590.0,20130.0,27700.0,7850.0,37770.0,74.9,21.8,3.3
773270102,Nangis,Centre-Est,29.0,59.0,5500.0,11540.0,18120.0,1420.0,25330.0,76.5,22.3,1.2
773270103,Nangis,Centre-Sud,54.0,22.0,14670.0,21380.0,28670.0,7510.0,36730.0,63.9,34.5,1.6
773300101,Nanteuil-lès-Meaux,Sud,67.0,12.0,19520.0,26920.0,36370.0,12470.0,48100.0,75.6,20.8,3.6
773300102,Nanteuil-lès-Meaux,Nord,62.0,16.0,18210.0,24630.0,33270.0,9840.0,42860.0,78.2,18.3,3.5
773330101,Nemours,Mairie Est,51.0,22.0,14670.0,20810.0,27270.0,8150.0,35470.0,70.1,26.8,3.1
773330102,Nemours,Mairie Centre-Nord,21.0,65.0,6410.0,10730.0,15880.0,2070.0,22710.0,72.3,27.2,0.5
773330103,Nemours,Mairie Centre-Sud,27.0,55.0,6930.0,12440.0,18170.0,2230.0,23980.0,68.8,30.3,0.9
773330104,Nemours,Mairie Sud,43.0,37.0,9560.0,17360.0,26500.0,3960.0,34780.0,70.0,27.4,2.6
773330201,Nemours,Rive du Loing,55.0,22.0,14780.0,22460.0,31580.0,7360.0,44410.0,65.2,30.5,4.3
773370101,Noisiel,Ville Ancienne,67.0,21.0,15710.0,26750.0,36190.0,8320.0,45740.0,70.4,26.6,3.0
773370201,Noisiel,Ville Nouvelle Nord,45.0,43.0,8210.0,16070.0,25310.0,3440.0,34940.0,75.5,23.3,1.2
773370202,Noisiel,Ville Nouvelle Centre-Ouest,51.0,35.0,11240.0,19000.0,28400.0,5160.0,38650.0,77.9,19.8,2.3
773370203,Noisiel,Ville Nouvelle Ouest,39.0,37.0,10570.0,16710.0,23780.0,5610.0,30860.0,82.8,16.2,1.0
773370204,Noisiel,Ville Nouvelle Sud-Ouest,57.0,29.0,12320.0,20800.0,28950.0,6680.0,38500.0,81.4,17.7,0.9
773370205,Noisiel,Ville Nouvelle Est,53.0,30.0,11560.0,20600.0,29940.0,5180.0,40280.0,78.7,19.2,2.1
773370206,Noisiel,Ville Nouvelle Centre-Est,59.0,23.0,14500.0,22060.0,30350.0,9090.0,39660.0,77.5,21.0,1.5
773490101,Othis,Ouest Nord,75.0,7.0,22700.0,28080.0,36320.0,15780.0,46270.0,73.5,23.0,3.5
773490102,Othis,Centre Sud-Est,69.0,13.0,19560.0,27060.0,34000.0,11790.0,42170.0,79.3,18.3,2.4
773500101,Ozoir-la-Ferrière,La Doutre,56.0,24.0,13950.0,21390.0,30100.0,8020.0,38990.0,72.5,24.6,2.9
773500201,Ozoir-la-Ferrière,Archevêché,71.0,10.0,20240.0,28510.0,37320.0,13670.0,49590.0,72.7,21.3,6.0
773500301,Ozoir-la-Ferrière,Vieux Village,70.0,12.0,19320.0,26840.0,35270.0,12640.0,46810.0,71.1,25.1,3.8
773500302,Ozoir-la-Ferrière,Notre-Dame,81.0,3.0,24250.0,29890.0,36420.0,19350.0,47380.0,66.7,28.6,4.7
773500402,Ozoir-la-Ferrière,Belle Croix,80.0,6.0,24020.0,32530.0,41500.0,16940.0,52650.0,71.1,25.6,3.3
773500501,Ozoir-la-Ferrière,Poirier Clos de la Vigne,85.0,3.0,32900.0,43470.0,58250.0,23110.0,79840.0,64.3,17.1,18.6
773730101,Pontault-Combault,Mairie Rouxel Nord,69.0,13.0,19120.0,27370.0,37070.0,11830.0,49500.0,74.5,18.7,6.8
773730102,Pontault-Combault,Mairie Rouxel Sud-Ouest,70.0,9.0,19780.0,27720.0,36620.0,13980.0,49650.0,74.9,19.9,5.2
773730103,Pontault-Combault,Mairie Rouxel Sud-Est,61.0,21.0,15630.0,23580.0,31420.0,8440.0,40410.0,74.9,21.3,3.8
773730201,Pontault-Combault,Orme au Charron,47.0,33.0,11340.0,17800.0,25440.0,6700.0,32910.0,79.7,18.4,1.9
773730301,Pontault-Combault,Ingres,87.0,3.0,28240.0,37450.0,49310.0,22940.0,64320.0,63.3,31.4,5.3
773730401,Pontault-Combault,Berchères Nord,57.0,27.0,13300.0,21820.0,30210.0,7540.0,40240.0,75.5,22.6,1.9
773730402,Pontault-Combault,Berchères Sud,60.0,22.0,14760.0,23360.0,33210.0,8540.0,43490.0,77.5,20.2,2.3
773730502,Pontault-Combault,Cimetière Est,61.0,20.0,14950.0,23080.0,31390.0,8380.0,41460.0,78.7,17.6,3.7
773730503,Pontault-Combault,Centre Commercial,68.0,15.0,18790.0,26430.0,34530.0,9960.0,44000.0,78.9,17.9,3.2
773730504,Pontault-Combault,Cimetière Ouest,74.0,12.0,20820.0,28270.0,36300.0,12620.0,45690.0,82.7,15.2,2.1
773790101,Provins,Centre-Est,41.0,39.0,8770.0,17270.0,26550.0,3080.0,38320.0,63.1,30.4,6.5
773790102,Provins,Centre-Nord-Ouest,59.0,17.0,16620.0,24470.0,35360.0,9600.0,49120.0,64.9,26.3,8.8
773790103,Provins,Centre-Sud Est,51.0,25.0,13790.0,21160.0,30990.0,6400.0,45410.0,64.9,27.4,7.7
773790201,Provins,ZUP Nord,51.0,27.0,12910.0,20460.0,27660.0,6670.0,37950.0,67.0,28.9,4.1
773790202,Provins,ZUP Sud,19.0,66.0,4610.0,9780.0,15570.0,230.0,21810.0,72.1,26.7,1.2
773900101,Roissy-en-Brie,Montmartre-Le Pommier Picard,73.0,9.0,20340.0,27870.0,35600.0,13970.0,43900.0,79.5,18.7,1.8
773900102,Roissy-en-Brie,Les Jondelles,73.0,9.0,20970.0,27760.0,35240.0,13980.0,42240.0,71.8,26.0,2.2
773900201,Roissy-en-Brie,La Renardière,39.0,45.0,8780.0,15290.0,22740.0,4490.0,30350.0,86.3,13.2,0.5
773900203,Roissy-en-Brie,Roissy Centre,41.0,45.0,10230.0,14940.0,22690.0,4640.0,30630.0,84.6,14.6,0.8
773900301,Roissy-en-Brie,Ascott-Village Ouest-Le Verger,66.0,16.0,17770.0,25180.0,35380.0,10520.0,45030.0,78.6,18.5,2.9
773900302,Roissy-en-Brie,Avenir-Village Est-Espérance,75.0,10.0,21280.0,28900.0,37830.0,14000.0,47840.0,72.5,22.9,4.6
773900401,Roissy-en-Brie,Arpents-Étang-Vignes,66.0,15.0,17110.0,23760.0,30580.0,11050.0,38820.0,78.9,19.8,1.3
774070101,Saint-Fargeau-Ponthierry,Guiche-Villers,83.0,5.0,29710.0,38210.0,53210.0,19750.0,74420.0,60.2,25.7,14.1
774070102,Saint-Fargeau-Ponthierry,Fargeau-Tilly-Wimpey,77.0,7.0,22490.0,31330.0,42090.0,15130.0,56200.0,73.6,21.1,5.3
774070103,Saint-Fargeau-Ponthierry,Cités Leroy,59.0,21.0,15260.0,22570.0,30440.0,8520.0,40150.0,76.8,20.9,2.3
774070104,Saint-Fargeau-Ponthierry,Moulin Clair-Moulin de la Seine,57.0,19.0,15620.0,22410.0,29850.0,9010.0,37440.0,68.6,29.3,2.1
774070105,Saint-Fargeau-Ponthierry,Florelites-Constant Gallon,63.0,19.0,16950.0,24820.0,33390.0,9060.0,42380.0,67.7,30.1,2.2
774070106,Saint-Fargeau-Ponthierry,Moulignon-Auxonnettes-Jonville,61.0,15.0,17930.0,24050.0,33080.0,10830.0,42630.0,81.6,16.1,2.3
774310101,Saint-Pierre-lès-Nemours,Centre-Sud,62.0,13.0,18120.0,25720.0,34850.0,12160.0,46390.0,62.1,32.3,5.6
774310102,Saint-Pierre-lès-Nemours,Est Nord-Ouest,59.0,11.0,18180.0,24150.0,30810.0,13130.0,40000.0,66.5,31.0,2.5
774380101,Saint-Thibault-des-Vignes,Bourg de Saint-Thibault,67.0,16.0,18300.0,26440.0,36180.0,10030.0,51580.0,77.9,18.4,3.7
774380102,Saint-Thibault-des-Vignes,ZAC de Saint-Thibault,70.0,14.0,19400.0,28540.0,39680.0,11050.0,56350.0,75.9,19.2,4.9
774450101,Savigny-le-Temple,Plessis La Forêt,65.0,15.0,18070.0,24400.0,31750.0,10850.0,39720.0,75.9,22.5,1.6
774450102,Savigny-le-Temple,Tourailles,57.0,21.0,15110.0,23330.0,30380.0,8870.0,40160.0,77.7,20.4,1.9
774450201,Savigny-le-Temple,Plessis le Roi,57.0,21.0,14780.0,22400.0,29810.0,7810.0,37780.0,82.9,15.8,1.3
774450202,Savigny-le-Temple,Rougeau,58.0,24.0,14040.0,21370.0,29530.0,8920.0,37090.0,72.4,26.3,1.3
774450203,Savigny-le-Temple,Centre,42.0,41.0,9990.0,15980.0,22700.0,5670.0,30340.0,86.9,12.6,0.5
774450301,Savigny-le-Temple,Parc des Sports,45.0,38.0,9590.0,16540.0,23670.0,4830.0,31230.0,86.4,12.7,0.9
774450302,Savigny-le-Temple,Parc des Sports Grange du Bois Sud,55.0,27.0,12800.0,20420.0,27650.0,7360.0,36200.0,80.5,18.6,0.9
774450401,Savigny-le-Temple,Le Bourg,70.0,13.0,18740.0,26210.0,34180.0,11860.0,44970.0,84.7,12.8,2.5
774580101,Souppes-sur-Loing,La Vallée,46.0,28.0,12620.0,19490.0,27460.0,6500.0,34810.0,70.7,25.4,3.9
774580102,Souppes-sur-Loing,Le Plateau,51.0,31.0,11450.0,19730.0,27730.0,5500.0,35470.0,66.3,28.2,5.5
774640101,Thorigny-sur-Marne,Ouest-Sud,62.0,23.0,14360.0,22520.0,31490.0,8140.0,42170.0,81.3,15.5,3.2
774640102,Thorigny-sur-Marne,Centre-Est,79.0,5.0,23650.0,31280.0,41790.0,16800.0,53580.0,69.7,26.3,4.0
774640103,Thorigny-sur-Marne,Nord,68.0,16.0,18760.0,26800.0,36950.0,10600.0,48160.0,72.1,23.9,4.0
774680101,Torcy,Le Clos,77.0,7.0,23260.0,29650.0,37080.0,17450.0,45300.0,79.2,19.1,1.7
774680102,Torcy,Vieux Torcy,69.0,14.0,18570.0,27380.0,37640.0,11420.0,48930.0,76.8,19.9,3.3
774680103,Torcy,Arche Guedon,49.0,36.0,9940.0,18040.0,26780.0,5060.0,36210.0,76.7,21.3,2.0
774680201,Torcy,Beauregard-Les Gradins,61.0,23.0,14040.0,22180.0,30950.0,8790.0,39820.0,77.0,20.3,2.7
774680202,Torcy,Centre Ancien,67.0,18.0,17560.0,25260.0,33670.0,9320.0,42530.0,78.7,19.7,1.6
774680203,Torcy,Raimu-Hugo-Beaudelaire,55.0,39.0,10580.0,17590.0,25450.0,5260.0,34390.0,88.2,10.3,1.5
774680204,Torcy,Le Mail,35.0,47.0,8410.0,14070.0,22000.0,3760.0,30090.0,79.3,19.3,1.4
774680205,Torcy,Belvédère,47.0,35.0,10630.0,16810.0,24430.0,5610.0,33800.0,84.2,15.1,0.7
774680206,Torcy,Jean Zay-Mendès France,57.0,27.0,12730.0,20400.0,28580.0,6910.0,37550.0,81.2,17.0,1.8
774700101,Tournan-en-Brie,Centre Nord,61.0,23.0,14490.0,23220.0,31710.0,8000.0,40780.0,76.3,21.8,1.9
774700102,Tournan-en-Brie,Centre,65.0,15.0,18430.0,26170.0,34160.0,10850.0,44900.0,74.5,22.0,3.5
774700103,Tournan-en-Brie,Périphérie,75.0,7.0,22520.0,30740.0,40360.0,15230.0,53540.0,76.4,19.5,4.1
774790101,Vaires-sur-Marne,Nord,71.0,14.0,19490.0,27840.0,37670.0,11420.0,49900.0,64.7,31.4,3.9
774790102,Vaires-sur-Marne,Est,68.0,22.0,15090.0,25360.0,35800.0,8400.0,46600.0,71.8,24.8,3.4
774790103,Vaires-sur-Marne,Centre,77.0,9.0,23050.0,32460.0,43010.0,14140.0,56700.0,71.9,22.1,6.0
774790104,Vaires-sur-Marne,Ouest,71.0,11.0,20770.0,28980.0,37470.0,13310.0,48360.0,71.1,24.1,4.8
774790105,Vaires-sur-Marne,Sud,53.0,35.0,9690.0,19770.0,32410.0,4360.0,45050.0,76.2,21.6,2.2
774870101,Vaux-le-Pénil,Nord-Ouest,71.0,9.0,20480.0,27860.0,37130.0,14370.0,48810.0,59.6,37.2,3.2
774870102,Vaux-le-Pénil,Sud-Ouest,74.0,8.0,21840.0,29530.0,38780.0,15190.0,51620.0,67.8,27.9,4.3
774870103,Vaux-le-Pénil,Centre-Nord,58.0,22.0,15020.0,23420.0,32970.0,7020.0,44380.0,72.5,23.9,3.6
774870104,Vaux-le-Pénil,Est-Sud,75.0,9.0,21680.0,28970.0,36560.0,14500.0,46550.0,78.9,19.2,1.9
774950101,Vert-Saint-Denis,Nord-Ouest,66.0,15.0,18100.0,26400.0,34820.0,10350.0,45210.0,73.5,23.2,3.3
774950102,Vert-Saint-Denis,Centre Est,67.0,13.0,19150.0,26320.0,33040.0,11810.0,42460.0,72.8,20.5,6.7
774950103,Vert-Saint-Denis,Sud,57.0,19.0,15540.0,22700.0,30730.0,9830.0,38520.0,76.3,21.1,2.6
775140101,Villeparisis,Varlin Ouest,62.0,22.0,15140.0,22870.0,30310.0,8320.0,40010.0,79.1,17.9,3.0
775140102,Villeparisis,Gide Ouest,64.0,19.0,15860.0,23860.0,32110.0,10020.0,42000.0,73.8,21.7,4.5
775140103,Villeparisis,Gide Est,64.0,17.0,17370.0,24500.0,32690.0,10530.0,42490.0,75.1,21.0,3.9
775140104,Villeparisis,Briand,61.0,22.0,14780.0,22860.0,31360.0,8230.0,40400.0,78.7,18.4,2.9
775140201,Villeparisis,Monnet Pré Berson,58.0,24.0,13910.0,21990.0,30180.0,7480.0,39090.0,83.1,14.6,2.3
775140301,Villeparisis,Route Nationale 3,47.0,34.0,11210.0,18840.0,27350.0,5430.0,35230.0,76.1,20.6,3.3
780050103,Achères,Champs de Villars,55.0,31.0,11920.0,19430.0,29420.0,6740.0,40580.0,83.4,14.4,2.2
780050104,Achères,Thorez,53.0,27.0,12760.0,20810.0,30270.0,7550.0,44060.0,80.5,17.2,2.3
780050105,Achères,Porte de Seine,45.0,37.0,10790.0,17180.0,23220.0,6230.0,32320.0,83.6,15.4,1.0
780050106,Achères,Centre Ville,54.0,25.0,13740.0,21060.0,30180.0,7470.0,42590.0,79.9,17.0,3.1
780050107,Achères,Montsouris,75.0,7.0,23190.0,30630.0,41100.0,16520.0,55220.0,69.2,25.7,5.1
780050108,Achères,Plantes d'Ennemont,63.0,17.0,16340.0,24690.0,34500.0,9560.0,45980.0,78.6,19.3,2.1
780050109,Achères,Chêne Feuillu,70.0,13.0,19840.0,28960.0,38600.0,11500.0,52740.0,81.1,16.1,2.8
780150102,Andrésy,Les Coteaux,81.0,7.0,24330.0,35200.0,46650.0,15610.0,60090.0,74.1,21.1,4.8
780150103,Andrésy,Les Charvaux,67.0,20.0,15960.0,25100.0,35350.0,9550.0,45350.0,81.8,16.8,1.4
780150104,Andrésy,Le Centre,74.0,12.0,20470.0,29540.0,41080.0,12460.0,56930.0,77.7,19.2,3.1
780150105,Andrésy,Les Îles,75.0,9.0,21980.0,31710.0,44520.0,14530.0,62100.0,74.8,19.8,5.4
780150106,Andrésy,Denouval,81.0,5.0,25480.0,33550.0,45520.0,19130.0,60510.0,74.0,21.0,5.0
780290101,Aubergenville,Élisa,71.0,11.0,20100.0,28030.0,37760.0,13310.0,49100.0,75.2,22.7,2.1
780290102,Aubergenville,Trait d'Union,62.0,20.0,15350.0,23270.0,31180.0,8840.0,40010.0,79.9,17.5,2.6
780290103,Aubergenville,Montgardé,75.0,5.0,22320.0,29440.0,36400.0,16200.0,45830.0,70.7,27.1,2.2
780620101,Beynes,Le Bourg et Les Hameaux,76.0,8.0,22330.0,31440.0,42260.0,15100.0,56160.0,77.6,17.9,4.5
780620102,Beynes,Les Chênes Le Renouveau et l'Estandart,73.0,11.0,20830.0,28370.0,36630.0,13590.0,47400.0,77.9,20.2,1.9
780620103,Beynes,Le Val des Quatre Pignons et Quartier Général Laurier,85.0,3.0,27150.0,33650.0,42830.0,21260.0,56090.0,70.5,27.0,2.5
780730103,Bois-d'Arcy,L'Église,73.0,9.0,20600.0,26870.0,35340.0,13820.0,44460.0,78.7,18.3,3.0
780730104,Bois-d'Arcy,Les Communes,74.0,12.0,19970.0,29610.0,41310.0,12550.0,55680.0,76.9,19.6,3.5
780730105,Bois-d'Arcy,La Chapelle Saint-Jean,77.0,7.0,23870.0,32770.0,42760.0,16080.0,55240.0,73.8,20.6,5.6
780730106,Bois-d'Arcy,La Butte du Moulin,73.0,11.0,20530.0,28210.0,36730.0,13390.0,46990.0,73.2,24.4,2.4
780730107,Bois-d'Arcy,Bois de la Couronne,70.0,12.0,19650.0,28530.0,37900.0,11770.0,50900.0,93.1,4.9,2.0
780730108,Bois-d'Arcy,La Croix Blanche-Les Langots,71.0,11.0,19300.0,26370.0,34440.0,13210.0,45640.0,82.1,15.8,2.1
780920101,Bougival,Les Quais,67.0,19.0,17340.0,26100.0,40100.0,9480.0,70560.0,72.8,18.5,8.7
780920102,Bougival,Bord de Seine,75.0,12.0,20460.0,32760.0,47430.0,12670.0,70320.0,82.1,12.8,5.1
780920103,Bougival,Centre Ville Jonchère,79.0,7.0,25260.0,39320.0,60330.0,16500.0,89630.0,60.9,10.6,28.5
780920104,Bougival,Les Hauts de Bougival,83.0,5.0,29210.0,40870.0,61060.0,19280.0,94920.0,77.6,15.8,6.6
781170101,Buc,Bas Buc,83.0,4.0,27790.0,39870.0,56340.0,19750.0,80160.0,73.9,18.3,7.8
781170102,Buc,Haut Buc,77.0,7.0,22890.0,36720.0,51410.0,15800.0,65830.0,70.2,24.6,5.2
781230101,Carrières-sous-Poissy,Saint-Blaise,73.0,13.0,19420.0,28700.0,38500.0,12050.0,52020.0,85.3,12.2,2.5
781230102,Carrières-sous-Poissy,Le Village,73.0,12.0,19320.0,27760.0,38010.0,11490.0,50290.0,91.4,6.7,1.9
781230103,Carrières-sous-Poissy,Apollinaire,46.0,39.0,9050.0,16350.0,24720.0,4620.0,34360.0,88.9,10.2,0.9
781230104,Carrières-sous-Poissy,Les Fleurs,41.0,45.0,8290.0,15270.0,23230.0,4530.0,32600.0,81.2,18.0,0.8
781230105,Carrières-sous-Poissy,Le Port,49.0,37.0,10230.0,17130.0,26580.0,4960.0,36240.0,82.4,16.0,1.6
781230106,Carrières-sous-Poissy,Les Arpents du Prieur,65.0,13.0,17170.0,25210.0,33890.0,12030.0,43210.0,78.8,18.0,3.2
781240101,Carrières-sur-Seine,Les Alouettes,41.0,43.0,9670.0,15740.0,23120.0,5070.0,30830.0,80.7,18.6,0.7
781240102,Carrières-sur-Seine,Champignon Vignes Blanches La Plaine,77.0,9.0,24710.0,38710.0,53600.0,15180.0,75480.0,76.0,17.8,6.2
781240103,Carrières-sur-Seine,Victor Hugo Bezons,79.0,8.0,23960.0,34840.0,50330.0,15770.0,74270.0,75.9,12.7,11.4
781240104,Carrières-sur-Seine,Village Doumer,85.0,4.0,28600.0,40840.0,55000.0,19940.0,73520.0,82.5,13.0,4.5
781240105,Carrières-sur-Seine,Berteaux Fermettes,77.0,7.0,26780.0,39270.0,56370.0,16600.0,78860.0,81.2,13.8,5.0
781260101,Celle-Saint-Cloud,Petit Beauregard,59.0,19.0,16140.0,23160.0,33100.0,9520.0,46310.0,75.8,21.5,2.7
